930019500,-95.0048,55.0048
930070340,-95.01529,55.01529
930121100,-95.0333,55.033302
930171900,-94.97377,54.97377
930222660,-94.96571,54.965714
930273400,-94.96285,54.962852
930324200,-94.96501,54.96501
930375000,-94.99623,54.99623
930425800,-95.046036,55.046036
930476540,-94.99182,54.99182
930527360,-94.97768,54.977676
930578100,-95.0222,55.0222
930628900,-95.06499,55.064987
930679700,-94.99076,54.99076
930730500,-94.98114,54.98114
930781250,-95.0256,55.025597
930832000,-95.02989,55.029892
930882800,-95.0362,55.0362
930933570,-95.01842,55.018417
930984400,-94.989044,54.989044
931035140,-94.99568,54.99568
931085950,-95.01533,55.015327
931136700,-95.08127,55.08127
931187500,-95.05417,55.05417
931238300,-95.0197,55.0197
931289100,-95.024025,55.024025
931339840,-95.05797,55.05797
931390660,-95.090935,55.090935
931441400,-95.07895,55.07895
931492160,-95.02663,55.026627
931543000,-95.037964,55.037964
931593700,-95.09775,55.097748
931644540,-95.07857,55.078568
931695300,-95.03728,55.037277
931746100,-95.04083,55.040833
931796860,-95.05476,55.054764
931847700,-95.09103,55.091026
931898430,-95.09335,55.093353
931949250,-95.112755,55.112755
932000000,-95.06801,55.06801
932050750,-95.057915,55.057915
932101570,-95.077126,55.077126
932152300,-95.163994,55.163994
932203140,-95.07562,55.075623
932253900,-95.06807,55.06807
932304700,-95.07002,55.070023
932355460,-95.14003,55.14003
932406300,-95.10395,55.10395
932457000,-95.08491,55.084908
932507840,-95.06421,55.06421
932558600,-95.086174,55.086174
932609340,-95.10611,55.10611
932660160,-95.1078,55.107803
932710900,-95.06851,55.068512
932761700,-95.06708,55.067078
932812500,-95.11099,55.110992
932863300,-95.11217,55.112167
932914050,-95.07761,55.077606
932964860,-95.06554,55.065536
933015600,-95.0614,55.0614
933066430,-95.11817,55.11817
933117200,-95.13463,55.13463
933168000,-95.082886,55.082886
933218750,-95.06262,55.062622
933269500,-95.07614,55.07614
933320300,-95.127945,55.127945
933371100,-95.09898,55.098984
933421900,-95.07084,55.07084
933472640,-95.05194,55.05194
933523460,-95.08525,55.08525
933574200,-95.14047,55.140472
933625000,-95.078766,55.078766
933675800,-95.0654,55.0654
933726600,-95.09395,55.09395
933777340,-95.128746,55.128746
933828100,-95.12596,55.12596
933878900,-95.0764,55.0764
933929660,-95.085594,55.085594
933980500,-95.08096,55.080963
934031200,-95.10498,55.10498
934082050,-95.11658,55.116577
934132800,-95.168655,55.168655
934183600,-95.112885,55.112885
934234400,-95.0946,55.094597
934285200,-95.07766,55.07766
934335940,-95.07922,55.079224
934386700,-95.09926,55.09926
934437500,-95.15876,55.15876
934488260,-95.1599,55.159897
934539100,-95.18225,55.18225
934589800,-95.14832,55.148323
934640640,-95.11107,55.11107
934691400,-95.124275,55.124275
934742200,-95.17845,55.17845
934792960,-95.172386,55.172386
934843800,-95.164345,55.164345
934894500,-95.539246,55.539246
951144500,-95.45147,55.45147
951195300,-95.39258,55.39258
951246100,-95.406845,55.406845
951296900,-95.36251,55.36251
951347650,-95.37448,55.37448
951398460,-95.41478,55.41478
951449200,-95.42342,55.423424
951500000,-95.38906,55.38906
951550800,-95.36228,55.36228
951601540,-95.37205,55.372047
951652350,-95.399475,55.399475
951703100,-95.418106,55.418106
951753900,-95.41499,55.414993
951804700,-95.3711,55.3711
951855500,-95.35935,55.359352
951906240,-95.37015,55.370148
951957060,-95.44394,55.44394
952007800,-95.399,55.399002
952058600,-95.38136,55.381363
952109400,-95.42481,55.424812
952160100,-95.37002,55.370018
952210940,-95.35587,55.355873
952261700,-95.39895,55.39895
952312500,-95.38708,55.387077
952363260,-95.42244,55.42244
952414100,-95.35786,55.357857
952464830,-95.335434,55.335434
952515650,-95.35237,55.35237
952566400,-95.39195,55.391953
952617200,-95.40785,55.407852
952667970,-95.34432,55.344322
952718700,-95.34149,55.34149
952769540,-95.38521,55.38521
952820300,-95.38736,55.38736
952871100,-95.341705,55.341705
952921860,-95.32832,55.328323
952972700,-95.34381,55.34381
953023400,-95.417625,55.417625
953074240,-95.35409,55.354088
953125000,-95.32547,55.32547
953175800,-95.32295,55.322952
953226560,-95.3282,55.3282
953277300,-95.3616,55.361603
953328100,-95.377625,55.377625
953378900,-95.318565,55.318565
953429700,-95.308464,55.308464
953480450,-95.318375,55.318375
953531260,-95.338715,55.338715
953582000,-95.40604,55.406036
953632830,-95.35168,55.351677
953683600,-95.3148,55.314796
953734400,-95.32132,55.32132
953785150,-95.359535,55.359535
953835970,-95.40371,55.40371
953886700,-95.40074,55.40074
953937500,-95.37967,55.37967
953988300,-95.33828,55.33828
954039040,-95.34733,55.34733
954089860,-95.35112,55.35112
954140600,-95.40696,55.40696
954191400,-95.34166,55.34166
954242200,-95.31244,55.31244
954293000,-95.334335,55.334335
954343740,-95.374176,55.374176
954394560,-95.381775,55.381775
954445300,-95.37671,55.37671
954496060,-95.331665,55.331665
954546900,-95.355194,55.355194
954597600,-95.36868,55.368683
954648450,-95.42041,55.42041
954699200,-95.40749,55.407494
954750000,-95.36513,55.365128
954800800,-95.33668,55.336678
954851600,-95.32448,55.32448
954902340,-95.370926,55.370926
954953150,-95.36498,55.364983
955003900,-95.36674,55.366737
955054660,-95.32654,55.326538
955105500,-95.32155,55.32155
955156200,-95.35225,55.35225
955207040,-95.41159,55.41159
955257800,-95.338104,55.338104
955308600,-95.33059,55.33059
955359360,-95.331535,55.331535
955410200,-95.30795,55.307953
955460900,-95.30879,55.308792
955511740,-95.33168,55.33168
955562500,-95.38464,55.384644
955613300,-95.35715,55.357147
